브랜드,상호,주소,시도,군구,위도,경도,전화 번호,24시간,DT 매장,주차,테라스,흡연시설
할리스,고덕비즈밸리점,서울특별시 강동구 고덕비즈밸리로 38 (고덕동) KS타워 101호~102호,서울특별시,강동구,37.5662716017863,127.15962203189,070-7782-0055,no,no,yes,yes,no
할리스,파르나스몰점,"서울특별시 강남구 테헤란로 521 (삼성동, 파르나스타워) 파르나스몰 내 B1층 F-3a호",서울특별시,강남구,37.5091916919873,127.06080691987,02-3453-1024,no,no,yes,no,no
할리스,석계역점,서울시 노원구 화랑로 325 1층,서울시,노원구,37.6149530035255,127.064043360012,02-942-1345,no,no,yes,no,no
할리스,국민대 성곡도서관점,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교) 도서관 지하1층",서울특별시,성북구,37.6102919873059,126.998494142731,02-910-4954,no,no,yes,no,no
할리스,경희대 경영대점,서울특별시 동대문구 경희대로 26 (회기동) 경영대학 3층,서울특별시,동대문구,37.5939491407769,127.054890960564,,no,no,yes,no,no
할리스,명동역점,"서울특별시 중구 퇴계로 131 (충무로2가, 신일빌딩)",서울특별시,중구,37.5612833166249,126.986361886176,02-752-5925,no,no,no,no,no
할리스,왕십리역점,서울특별시 성동구 왕십리광장로 17 (왕십리민자역사) 비트플렉스몰 3층 영풍문고 내,서울특별시,성동구,37.5614417528647,127.038394194396,02-2200-1303,no,no,yes,no,no
할리스,소월아트홀점,서울특별시 성동구 왕십리로 275-1 (행당동 133-2),서울특별시,성동구,37.5589650309639,127.036892174319,02-2294-7002,no,no,yes,yes,yes
할리스,송파거여역점,"서울특별시 송파구 오금로 513 (위례빌딩,1층)  거여동 37",서울특별시,송파구,37.4932241638816,127.145878722601,02-449-6232,no,no,no,yes,no
할리스,서초마제스타시티점,서울특별시 서초구 서초대로38길 12 (힐스테이트서리풀),서울특별시,서초구,37.4904950346372,127.005381592272,02-6411-0063,no,no,yes,no,no
할리스,잠실새내역점,"서울특별시 송파구 올림픽로12길 8 (잠실동, 제일빌딩)",서울특별시,송파구,37.5109956587836,127.082785706876,02-416-2085,no,no,no,yes,yes
할리스,중랑역점,서울특별시 중랑구 망우로 210 (상봉동),서울특별시,중랑구,37.5936673220132,127.07599534973,02.6085.7858,no,no,no,no,yes
할리스,강변역점,"서울 광진구 구의강변로 64, 구의아크로리버 1층 구의동 589-10",서울,광진구,37.5358285666892,127.092583672192,070-7802-0303,no,no,yes,no,no
할리스,용산아이파크몰점,"서울특별시 용산구 한강대로23길 55, 서관 4층 (한강로3가, 용산역)",서울특별시,용산구,37.5297718014452,126.964741503485,02-2012-0473,no,no,yes,no,no
할리스,등촌역점,서울특별시 강서구 등촌로 229 (등촌동) 1~2층,서울특별시,강서구,37.5502242501914,126.863458548999,02-2655-2290,no,no,yes,yes,no
할리스,오류동점,"서울특별시 구로구 경인로 224 (오류동, 칸타빌레5차)",서울특별시,구로구,37.4964851629173,126.845741839583,02-2625-4854,no,no,no,no,no
할리스,잠실학원사거리점,"서울특별시 송파구 석촌호수로 130 (삼전동, 신원빌딩) 삼전동 1-1외 3필지",서울특별시,송파구,37.5071964496082,127.091386305975,02-3431-4662,no,no,yes,no,no
할리스,발산역점,서울특별시 강서구 강서로 357 (내발산동),서울특별시,강서구,37.5576668863222,126.837387751506,02-2663-4976,no,no,yes,no,no
할리스,목동파리공원점,"서울특별시 양천구 목동서로 57 (목동, 현대파리지앙)",서울특별시,양천구,37.5366321308561,126.879863427781,02-2645-8497,no,no,no,no,no
할리스,북한산DI점,"서울특별시 은평구 북한산로 248-8 (진관동, 자돈)",서울특별시,은평구,37.6518581234721,126.938554425363,02-3157-4843,no,no,yes,yes,no
할리스,신도림테크노마트점,서울특별시 구로구 새말로 97 (신도림테크노마트) 104~106호,서울특별시,구로구,37.5070438414784,126.890227293528,02-2111-1300,no,no,yes,no,no
할리스,KG타워점,"서울특별시 중구 통일로 92 (순화동, 케이지타워) 1층",서울특별시,중구,37.5635955637684,126.969222436022,02-777-5559,no,no,yes,no,no
할리스,올림픽공원역점,"서울특별시 송파구 올림픽로 424 (방이동, 올림픽공원) (A-3동 C구역 )",서울특별시,송파구,37.5203396980951,127.115517876627,02-420-9997,no,no,yes,no,no
할리스,신촌역점,"서울특별시 마포구 신촌로 88 (노고산동, 태영빌딩) 2층",서울특별시,마포구,37.5553097221974,126.935331733458,02-325-7588,no,no,no,no,no
할리스,노원역점,"서울특별시 노원구 노해로 488 (상계동, 근호빌딩) 1층",서울특별시,노원구,37.6543222923845,127.062168567542,02-933-8824,no,no,yes,yes,no
할리스,가산대륭22차점,"서울특별시 금천구 가산디지털1로 146 109,110,111호",서울특별시,금천구,37.4787027326644,126.883148970201,02-2059-1131,no,no,yes,no,no
할리스,연트럴파크점,서울특별시 마포구 동교로 233 (연남동),서울특별시,마포구,37.5609588167788,126.924024982068,02-335-7805,no,no,no,yes,no
할리스,강남우리라운지점,서울특별시 강남구 테헤란로 301 역삼동 701-02 삼정빌딩 L층,서울특별시,강남구,37.5031256356337,127.043068810036,02-566-1002,no,no,yes,no,no
할리스,이태원역점,서울특별시 용산구 이태원로 180 2층~3층,서울특별시,용산구,37.5342217426698,126.994224816687,02-749-8752,no,no,no,no,no
